Tick;Step;DateTime;ID
39;39;2021-01-01T11:00:39.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
39;39;2021-01-01T11:00:39.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
40;40;2021-01-01T11:00:40.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
40;40;2021-01-01T11:00:40.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
40;40;2021-01-01T11:00:40.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
41;41;2021-01-01T11:00:41.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
41;41;2021-01-01T11:00:41.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
41;41;2021-01-01T11:00:41.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
42;42;2021-01-01T11:00:42.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
42;42;2021-01-01T11:00:42.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
42;42;2021-01-01T11:00:42.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
43;43;2021-01-01T11:00:43.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
43;43;2021-01-01T11:00:43.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
43;43;2021-01-01T11:00:43.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
44;44;2021-01-01T11:00:44.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
44;44;2021-01-01T11:00:44.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
44;44;2021-01-01T11:00:44.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
45;45;2021-01-01T11:00:45.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
45;45;2021-01-01T11:00:45.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
45;45;2021-01-01T11:00:45.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
46;46;2021-01-01T11:00:46.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
46;46;2021-01-01T11:00:46.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
46;46;2021-01-01T11:00:46.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
47;47;2021-01-01T11:00:47.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
47;47;2021-01-01T11:00:47.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
47;47;2021-01-01T11:00:47.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
48;48;2021-01-01T11:00:48.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
48;48;2021-01-01T11:00:48.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
48;48;2021-01-01T11:00:48.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
49;49;2021-01-01T11:00:49.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
49;49;2021-01-01T11:00:49.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
49;49;2021-01-01T11:00:49.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
50;50;2021-01-01T11:00:50.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
50;50;2021-01-01T11:00:50.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
50;50;2021-01-01T11:00:50.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
51;51;2021-01-01T11:00:51.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
51;51;2021-01-01T11:00:51.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
51;51;2021-01-01T11:00:51.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
52;52;2021-01-01T11:00:52.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
52;52;2021-01-01T11:00:52.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
52;52;2021-01-01T11:00:52.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
53;53;2021-01-01T11:00:53.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
53;53;2021-01-01T11:00:53.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
53;53;2021-01-01T11:00:53.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
54;54;2021-01-01T11:00:54.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
54;54;2021-01-01T11:00:54.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
54;54;2021-01-01T11:00:54.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
55;55;2021-01-01T11:00:55.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
55;55;2021-01-01T11:00:55.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
55;55;2021-01-01T11:00:55.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
56;56;2021-01-01T11:00:56.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
